Description,Product Group
"Signal cable DS gray, two-pole",Cables
"CADDY CABLE CAT 19-25mm OD, 6.4mm",Cables
Fjaer,Electrical Components
End cap 75-30,Cables
A1.5-10 ET ISOLERT ENDEHYLSE,Consumables
PROTECTIVE CAP CABLE GR KS 3.9 OR ✓,Electrical Components
PROTECTIVE CAP CABLE GR KS 4.8 OR ✓,Electrical Components
fischer cover cap FEC 41 B ✓,Consumables
GROUND FAULT CIRCUIT BREAKER SCHNEIDER IC60 RCBO - 1600914- A9D17232,Electrical Components
GROUND FAULT CIRCUIT BREAKER SCHNEIDER IC60 RCBO 4P 16A ✓,Electrical Components
CIRCUIT BREAKER IC60 RCBO 4P 32A CURVE C 30MA SCHNEIDER (A9D67432) ✓,Electrical Components
Lockout circuit breaker CBL-43,Electrical Components
NG125L/C 10-2 Modular Circuit Breaker,Electrical Components
Modular Circuit Breaker NG125L/C 16-3 18800,Electrical Components
Vigi iC60H earth fault module - 2P - 25A - 30mA - SI type,Electrical Components
Earth leakage circuit breaker JFBR IID 4P 40A 30MA A A9Z21440,Electrical Components
"ACTI9 AUXILIARY CONTACT A9 IOF 1OC 100MA - 6A, AC/DC ✓",Electrical Components
"CIRCUIT BREAKER A9 iSD 1OC 100mA - 6A, AC/DC (A9A26907) ✓",Electrical Components
AUXILIARY CONTACT A9 ISD FOR DT 1OC 2-100MA ACDC,Electrical Components
A9 ISD 1OC 2-100MA AC-DC ✓,Electrical Components
Ground Floor IC60L 2P 63A 30MA - A9V51263,Electrical Components
CIRCUIT BREAKER AUTOMAT 4-POL C 16A 5SY7 (230/400V 15kA)  5SY7416-7 ✓,Electrical Components
CIRCUIT BREAKER C60H-DC1A 2P/C,Electrical Components
Circuit Breaker IC60H 2P6A/B,Electrical Components
CIRCUIT BREAKER ACTI 9 IC60H 2P 20A B-CURVE (A9F06220),Electrical Components
CIRCUIT BREAKER ACTI 9 IC60H 4P 25A B-CURVE (A9F06425),Electrical Components
CIRCUIT BREAKER IC60H 2-POL 4A C - Curve ✓,Electrical Components
CIRCUIT BREAKER ACTI9 IC60H 2P 10A C-CURVE - A9F07210 ❌,Electrical Components
Circuit Breaker IC60H 2P 16A/C - A9F07216 ✓,Electrical Components
Circuit Breaker IC60 2P 32A/C - A9F07232 ✓,Electrical Components
AUT.FUSE IC60H 3P 16A/C,Electrical Components
AUTOMATIC FUSE ACTI9 iC60H 4P 10A C-CURVE ✓,Electrical Components
circuit breaker IC60H 4P 16A/C - A9F07416 - 1676092 ✓,Electrical Components
Circuit Break IC60H 4P 32A/C - A9F07432,Electrical Components
"Automatic fuse Acti9 iC60H 4P - 40A - C-kurve - I2=1,45 - A9F07440",Electrical Components
Circuit Break IC60H 4P 63A/C - A9F07463,Electrical Components
IMPULSIVE RELAY 16A 1P - 1NO 230VAC/110VDC,Electrical Components
LOAD DISCONNECTOR OT160G04P,Electrical Components
CIRCUIT BREAKER PROTECTION COMPACT MICROLOGIC7.3E AL 400A 4P ✓,Electrical Components
4 terminals 1.5-95mm  Al/Cu 160A for Compact NSX and INS - LV429243 ✓,Electrical Components
FDM121 display unit BSCM status and control mod NSX SCHNEIDER,Electrical Components
IFM MODULES/ ULP LINE TERMINATORS SCHNEIDER SET 10 PIECES ✓,Electrical Components
ØS MODBUS GATEWAY,Electrical Components
EB-12 BUSBAR NVENT ERIFLEX 12 CONNECTIONS 250A,Electrical Components
Cable Bridge Castor,Electrical Components
Auxiliary block iACTs 1NO+1NC for ICT Contactors,Electrical Components
Earth fault circuit breaker Acti9 IC60 RCBO 2P 16A 30MA C 10kA A,Electrical Components
Circuit Breaker -Acti9 iC60N -  2P - 10A - Curve C - 6000A,Electrical Components
CIRCUIT BREAKER ACTI 9 IC60H 2P 16A C-CURVE,Electrical Components
ACTI9 IC60N - CIRCUIT BREAKER - 4P - 63A - C CURVE - 6000A,Electrical Components
CIRCUIT BREAKER VIGI IC60 2P 25A-300mA,Electrical Components
GROUND FAULT MODULE VIGI iC60 2P 25A 300mA A-TYPE,Electrical Components
Clamps 2X50-120mm al/cu Al/Cu,Electrical Components
IC60 RCBO 2P 16A B 30MA JFA,Electrical Components
CIRCUITE BREAKER PROTECTOR 6-10A,Electrical Components
KRB-90-300 L=3000 PG CABLE TRAY,Cables
Perforated - Cable - Tray -  KRB-90-400 PG - Inside,Cables
RSS-90-300 PG JOINT ✓,Cables
RSS-90-400 PG JOINT,Cables
RSS-90-500 PG Joint ✓,Cables
TC-C5M SECOR CLIPS 8-12 HVIT,Consumables
"CLIPS C 10-14 SORT, 2,0X30",Consumables
Cover LID - 200x3000 - C.Ladder & C.Tray - Galv - Outside - OBO Betterman,Cables
Cover LID - 300x3000 - C.Ladder & C.Tray - Galv - Outside - OBO Betterman,Cables
Cover LID - 400x3000 - C.Ladder & C.Tray - Galv - Outside - OBO Betterman,Cables
Cover LID - 500x3000 - C.Ladder & C.Tray - Galv - Outside - OBO Betterman,Cables
Cover LID - 600x3000 - C.Ladder & C.Tray - Galv - Outside - OBO Betterman,Cables
Saddle TKS-ER 16 Stainless ✓,Consumables
"Beam clamp SSP 20-40, FT M6",Pipes Shrinks Clamps
Lightning arrester stainless  40 6m,Pipes Shrinks Clamps
Beam Clamp TCS 41 HCP,Consumables
Ground clamps ABB for PEN rail - up to 70mm2,Pipes Shrinks Clamps
"Earthing clamp for PE rail, 4 - 35mm",Pipes Shrinks Clamps
"""""""GROUND CLAMP 927/4 Z 3/8""""""""-6""""""""""""""",Pipes Shrinks Clamps
32MM PIPE CLAMP GRAY,Pipes Shrinks Clamps
BANGLE CLAMP 16MM2 12X10MM ✓,Pipes Shrinks Clamps
Universal clamp 1XAL/CU 150MM  (GRAY),Pipes Shrinks Clamps
Universal clamp  1XAL/CU 150MM  (BLUE),Pipes Shrinks Clamps
CLAMP 2XAL/CU 240MM  YELLOW/GR,Pipes Shrinks Clamps
Connection clamp Al/Cu 50mm  double grey,Pipes Shrinks Clamps
Connection clamp Al/Cu 50mm  double blue,Pipes Shrinks Clamps
Connection clamp Al/Cu 50mm  double yellow/green,Pipes Shrinks Clamps
"Ground rail clamp 10mm, 1.5-16mm",Pipes Shrinks Clamps
ELIT FALSE CLAMP STAINLESS STEEL,Pipes Shrinks Clamps
ONION RING MM40/PG29 18-21-24-27,Pipes Shrinks Clamps
ONION RING MM50 /PG36 24-27-30-33,Pipes Shrinks Clamps
WSI 6 FUSE CLAMP 0.5-6MM2 - WEIDMULLER,Pipes Shrinks Clamps
Pipe clamp EC 16 Black   16mm,Pipes Shrinks Clamps
PIPE FLEXIBLE CLIP 40-50MM - 1305178,Pipes Shrinks Clamps
CLAMP OBO ACID-PROOF V4A  25 MM.-1018679,Pipes Shrinks Clamps
Clamp TC-C5M Secor 5-7 Black Hot Dip Galvanized For Round Cable,Pipes Shrinks Clamps
"Thorsman Screw clips TCS-C3 18-22, White, pack of 50",Pipes Shrinks Clamps
4H58CT 25 CADDY CLAMPS,Pipes Shrinks Clamps
4H58 ZINC.CADDY CLAMPS 8-13MM ✓,Pipes Shrinks Clamps
BEAM CLAMP 47SC2530 ? 25-32MM STEEL,Pipes Shrinks Clamps
812SC2530 CADDY CLAMP,Pipes Shrinks Clamps
CADDY CLAMPS ELZINC TKN8 ✓,Pipes Shrinks Clamps
TKN M10 CADDY CLAMP ✓,Pipes Shrinks Clamps
BEAM CLAMPS C20,Pipes Shrinks Clamps
CADDY C30 P3 17 30 mm,Pipes Shrinks Clamps
CABLE CLAMP CCA-82 PG,Pipes Shrinks Clamps
"CLAMP FASTENING, SELF-CL.",Pipes Shrinks Clamps
"""CLAMPS FOR 3/4"""" PIPES SS ? 26.9 - 31.8MM - CR-28""",Pipes Shrinks Clamps
BEAM CLAMP CR37/CR28,Pipes Shrinks Clamps
CLAMP S1-1X20   20MM SS,Pipes Shrinks Clamps
DRILL LOCK 2S.F/BU.25MMX15CM PERF,Pipes Shrinks Clamps
TED-KR K-PIPE FIXING 16-20MM A100,Pipes Shrinks Clamps
Beam clamp TCS ELZ/Pregalvanized,Pipes Shrinks Clamps
Spacer clamp 733 FT  30X36,Pipes Shrinks Clamps
"BEAM CLAMP SSP 6-21, FT M8",Pipes Shrinks Clamps
""""""" FALSE CLAMP 7-10 mm galv/VA2 ELIT FK710-Galv""""""",Pipes Shrinks Clamps
"Duo Clamp SRS with Lining  48 - 52 1 1/2"" 20 x 1.5 ✓",Pipes Shrinks Clamps
ELIT BC40SS RAIL CLAMP,Pipes Shrinks Clamps
RUBBER CLAMP STANDARD 34.9MM,Pipes Shrinks Clamps
WIRE CLAMP SHACKLE LOCK 10MM,Pipes Shrinks Clamps
WIRE CLAMP BACK LOCK 7-8MM,Pipes Shrinks Clamps
WIRE CLAMP BACK LOCK 10MM,Pipes Shrinks Clamps
WIRE CLAMP TALURIT LOCK ALU T2MM,Pipes Shrinks Clamps
CABLE HOSE CLAMPS FOR ELETRICAL CABINETS,Pipes Shrinks Clamps
"Tel. Clamp 1.5-16mm , f 5mm AKU16/5",Pipes Shrinks Clamps
AKU35/5 ADD. CLAMP 4-35MM 107188 ✓,Pipes Shrinks Clamps
Wire clamps u-bolt 10mm,Pipes Shrinks Clamps
"""PIPE CLAM F/3/4"""" 22X1 GALVANISED - 2857702""",Pipes Shrinks Clamps
"""PIPE CLAM F/1"""" 25X1 GALVANISED """,Pipes Shrinks Clamps
Cable protection clamps  16,Pipes Shrinks Clamps
CABLE PROTECTION CLAMP  34mm,Pipes Shrinks Clamps
CLAMP CU-PRIMAX 4-25,Pipes Shrinks Clamps
AlCu Branch Clamp 25-70/10-70,Pipes Shrinks Clamps
AlCu branch clamp 50-150/25-120,Pipes Shrinks Clamps
"Cable Clamp, 25.4mm, Aluminum, Chloroprene, Black - 916381774",Pipes Shrinks Clamps
Phoenix Endrest CLIPFIX 35,Pipes Shrinks Clamps
CABLE CLAMP FOR ISOLATED STI AMPRO,Pipes Shrinks Clamps
Lock claw HK 41/10 - 178247,Pipes Shrinks Clamps
"Screw clamps Stable D-3G w/damper ELZ Kruge, 2 screws",Pipes Shrinks Clamps
CABLE PROTECTION CLAMP M8 20mm,Pipes Shrinks Clamps
Screw clamp Flash w/damping EPDM M8 20-23MM,Pipes Shrinks Clamps
20-23 mm Jirva Premium 280 screw clamp w/damping rubber M8/M10.,Pipes Shrinks Clamps
25-28 mm Jirva Premium 280 skr uklammer w/damping rubber M8/M10.,Pipes Shrinks Clamps
32-35 mm Jirva Premium 280 skr uklammer w/damping rubber M8/M10.,Pipes Shrinks Clamps
40-43 mm Jirva Premium 280 skr uklammer w/damping rubber M8/M10.,Pipes Shrinks Clamps
57-61 mm Jirva 378 screw clamp M8/M10. ELZ,Pipes Shrinks Clamps
Hose Clamp Stainless Ironside W4 44-56mm 3pk,Pipes Shrinks Clamps
Hose clamp W4 50-65mm 2pk,Pipes Shrinks Clamps
Hose Clamp Stainless Ironside W4 58-75mm,Pipes Shrinks Clamps
"Clamp Type KF, with one conductor support",Pipes Shrinks Clamps
Connection clamp  40-50mm  and  8mm ELIT NLF-4050- 8,Pipes Shrinks Clamps
Cross clamp multi  8-10mm ELIT KKR-V2A- 8-10mm,Pipes Shrinks Clamps
Fold clamp junction  8mm,Pipes Shrinks Clamps
Disconnecting terminal Cu/steel  bimetal ELIT FKK-Cu-Steel-BM,Pipes Shrinks Clamps
Ground test clamp conductor-band tinned ELIT CCJ70CA- 8-10- W25-30mm,Pipes Shrinks Clamps
"RS PRO Silver 316 Stainless Steel Saddle Clamp, 25mm Max. Bundle",Pipes Shrinks Clamps
FALSE CLAMP 7-10 mm galv/VA2 ELIT FK710-Galv,Pipes Shrinks Clamps
CLAMP/SUPPORT FOR PIPE MOUNTING   40?50 MM,Pipes Shrinks Clamps
Clamp 60x40 M6 GKS 50 07 FS galvanized,Pipes Shrinks Clamps
Ceramic connectors TK 06 4-6mm2 Double,Pipes Shrinks Clamps
Suspension nut MQA-M 8-F ✓,Consumables
Suspension nut MQA-M10-F,Pipes Shrinks Clamps
Suspension nut MQA-M12-F,Consumables
F-Clamp F20 19-21mm HILTI,Pipes Shrinks Clamps
F-Clamp F 24-29mm,Pipes Shrinks Clamps
"TRANSITION CLAMP 2.5-35mm2, 5xAl/Cu - OTL L1-L2-L3-N-PE",Pipes Shrinks Clamps
Connection clamp Al/Cu 95mm  gray,Pipes Shrinks Clamps
Connection clamp Al/Cu 95mm  Neutron Blue,Pipes Shrinks Clamps
DEHN Saddle clamp St/tZn f. Rd 7-10mm.,Pipes Shrinks Clamps
CLAMP BOARD KB 6S,Pipes Shrinks Clamps
CMP Cable gland acc. to spec.,Electrical Components
CMP-737D adaptor NB M20-M25,Electrical Components
CMP-25A2F1002RR5 gland NB M25 Pack,Electrical Components
CMP-20A2F1002RR5 gland NB M20 pack,Electrical Components
CMP-75A2F1001RA5 gland NB M75 pack,Electrical Components
CMP-KIT 737D adaptor NB M40-M32 a.accs,Electrical Components
CMP-63T3CDS gland NB M63 Pack,Electrical Components
CMP-32A2F100 gland NB M32 Pack,Electrical Components
CMP-63A2F100 gland NB M63 Pack,Electrical Components
LC1D40AP7 CONTACTOR 40AC3 230V (Schneider),Electrical Components
LC1D32P7 CONTACTOR 32A 230V,Electrical Components
CONTACTOR LC1D12BD 12A 24VDC,Electrical Components
CONTACTOR ICT 40A 2NO 230VAC ✓,Electrical Components
CONTACTOR ICT 40A 4NO 230VAC (SCHNEIDER),Electrical Components
CONTACTOR ICT 16A 1NO1NC 230VA,Electrical Components
CONTACT ELEMENT ZBE102,Electrical Components
CONTACTOR ELEMENT ZENL1111,Electrical Components
CONTACTOR ELEMENT ZENL1121,Electrical Components
Modular contactor Acti9 iCT 40A 4NO 230VAC 50 Hz,Electrical Components
TERMINAL BLOCK AL/CU 16MM2 - 95MM2 SINGLE BLUE (CV013284),Electrical Components
SPLICING CONNECTOR 4 MM   3-CONDUCTOR WAGO ✓,Electrical Components
CONNECTOR PUSH IN TERMINAL 6X4MM,Electrical Components
FLAT ANGLE GK-F70170RW,Electrical Components
Junction box Abox-i m 040 AB-L/sw,Electrical Components
RAIL CLAMP G/G 4L 2204-1407,Electrical Components
ELIT RAIL MOUNT SF40-210,Electrical Components
PT 2.5 REKL INST 2 ADD,Electrical Components
"PT 2,5-PE STRAIGHT INSTALLATION 2 ADD",Electrical Components
RAIL CLAMP UT 2.5 - PHOENIX,Electrical Components
Lask Phoenix for 2.5 mm,Electrical Components
Terminal WPE16 GUL/GR JORDKL 3039101040,Electrical Components
WQV 6/3 CROSS CONNECTION,Electrical Components
Connecting rod OE/LOE-100 SC SS,Electrical Components
Connection kit Raych 5x11/5x15,Electrical Components
ROUND PIN DEVICE INLET A-COLLECTION IP44 400V RECESSED W/FLANGE,Electrical Components
ROUND PIN PLUG A-COLLECTION 400V IP67 63A,Electrical Components
SPLICING CONNECTOR 463-6 IP66/67 A-COLL 63 A,Electrical Components
SPLICING CONNECTOR 3-WAY RUBBER W/CAP IP44 A-COLL,Electrical Components
Splicing connector a-collection 400V IP44,Electrical Components
PLUG W/EARTH RUBBER BLACK IP54 A-COLL,Electrical Components
PLUGG INFR R 432-6 400V IP44 ✓,Electrical Components
END SLEEVES ABIKO INSULATED RED,Electrical Components
SCREW CONNECTOR SLEEVE 1KV 6-50MM,Electrical Components
SCREW CONNECTOR SLEEVE 1KV 50-240MM ✓,Electrical Components
"Aluminium union, threade M25X1,5",Electrical Components
AIR COUPLING 320 INV 1/4'',Electrical Components
RJ45 plug,Electrical Components
Modular Connectors RJ12,Electrical Components
"PLUG RUBBER W/J YELLOW 16A/230V, 3G2.5",Electrical Components
PLUG 230V BLACK,Electrical Components
VW3A8306TF10 MODBUS T RJ45 1M,Electrical Components
CONNECTOR FOR SHEETS UP TO 5 mm thick FT,Electrical Components
RJ45 Terminating Resistor,Electrical Components
PLUG PVC W/LID W/GROUND - FEMALE Joint connector,Electrical Components
PLUG CONNECTOR W/GROUND,Electrical Components
EPIC DATA RJ45 CAT.6A FP 568B 90  ANGLED,Electrical Components
RJ 12 PLUG 6/6 ROUND CABLE CBK,Electrical Components
dGLink Modular connector UTP Cat.6A PV 2xRJ45,Electrical Components
CONNECTOR S1 CAT 6A STP - VDIB1771XB01,Electrical Components
Actassi S-One connector RJ45 Shielded Cat6 A STP 96 pk ✓,Electrical Components
PATCH PANEL 1U24KAT6A (MAXETA),Electrical Components
Connector x 6 pcs. RJ45 Cat6A STP,Electrical Components
Field plug RJ45 CAT 6A STP Eurolan,Electrical Components
DGLINK CAT 6A 10GB KEYSTONE RJ45,Electrical Components
PATCH PANEL 24 OUTLETS CAT6A,Electrical Components
CONNECTOR RJ12,Electrical Components
Universal plug NCS RJ45 lance,Electrical Components
Actassi DIN modul for 1xS-One (541374)  VDIR380006 ✓,Electrical Components
PATCHGUIDE BRACKET ✓,Electrical Components
PATCH PANEL UNATTACHED 1U24P ✓,Electrical Components
Connection plate VB,Electrical Components
DPCB 25X5X1750 COPPER RAIL,Electrical Components
DPCB 50X5X1750 COPPER RAIL (20100034),Electrical Components
DPCB 63X5X1750 ELIT COPPER RAIL (20100035),Electrical Components
Perforated Cu rail  10.5 60x10mm ELITE DPCB60X10,Electrical Components
PCB 100X10X4000 COPPER RAIL,Electrical Components
KGF COPPER LINE 50MM2 ANNEALED,Lighting
INV. PLASTIC PLUG PIPE  60.3/3.6,Cables
Blind plug/Seal for 16mm K-pipe,Cables
"20 mm End housing, Grey, Separable 2047831 129 TB M20",Cables
CABLE PROTECTION T36 INV. DIA 31MM ✓,Cables
"""""""Edging Oglaend """"""""Volvolist""""""""""""""",Cables
COVER 100 MM SPB TRACK SS,Cables
End Cap MP-761 P 4MM,Consumables
End cover D-97 41 PP,Cables
End cover D-97 21PP,Cables
EXXACT 1 PV COVER 35MM WHITE - WDE002361 SCHNEIDER ✓,Cables
END COVER FOR SCHNEIDER BUSBAR RAIL 4P SET 10 PIECES,Electrical Components
WHITE RAIL COVERING 21cm,Cables
End Cap CC41,Cables
Cover strip for Modular Products L=1000mm for PrismaSeT G/P,Cables
Cover strips-Divisible-L=90mm-4pcs for PrismaSeT G/P - LVS03221,Electrical Components
Cover-separable-for NSX100-250 Vertical- Length147mm- for PrismaSeT G/P,Cables
Cover for RJ45,Cables
TERMINAL COVER  FOR AUTOMATIC TRANSFERPACT 100A FRAME - TPSISO30 ✓,Cables
Image by LV432594 Schneider Electric Terminal cover long4P 1pcs 400/630 for Compact NSX and INS,Electrical Components
"BLIND COVER - 1 MODULE - WHITE IP 20, GLOSSY SURFACE",Cables
COVER - 2 MODULES - WHITE,Cables
END CAP MQZ-E 41 HILTI - 36985,Cables
End cap MQZ-E21,Cables
"Cover clips, wire mesh trays",Cables
"Cover clips, tray FZ ladder 19 mm MP-no 401R",Cables
"Protective cover, 275x175x100 EFCS20",Cables
D70-R195 G2 WEIGHT DISTR.PL.M600,Cables
D70-R WEIGHT DISTRIBUTION PLATE CARDBOARD 70-92-108-155-195mm,Cables
END CAP FOR TYPE L6 LUMINARIES,Cables
WEDGE 120 GALV. COMP. UNIT,Cables
WEDGE 120 AISI 316 COMP. UNIT,Cables
ELIT CPI50-300-12,Electrical Components
SAFETY COUPLING CLUTCH CEJN UTV 3/8 R SERIES 320 WITH EXTERNAL THREAD,Tools
HHS   CLEAN PRE-CLEAN WITH ADHESION IMPROVER,Tools
Firestop 400 Reative Sealant,Tools
REMS SPECIAL A ROSOL 600 ML,Tools
CRC SILICONE (IND) AE 500ML,Tools
CRC ZINC AEROSOL 500ML,Tools
SEALANT TEC7 WHITE 310ML,Tools
UNIVERSAL SEALANT GRAFT MSP 290 ML GREY,Tools
CRC SUPERCUT AEROSOL 250 ML,Tools
CRC COPPER PASTE 100ML,Tools
CUTTING FLUID 5L,Tools
WD-40 SMART STRAW 450ML,Tools
FIX ALL GLUE HT GRAY 290ML,Tools
COLD GALV INDUSTRY ZINC 500ML SPRAY,Tools
COPPER PASTA PRO SPRAY CRC 250ML,Tools
ADBLUE 10 LTR YARA,Tools
ISOPROPANOL 1LT,Tools
SPECIAL THINNER POWER COAT 5 LTR,PPE
SELACLEAN WASHING FLUID 3L -15,Tools
SWEDOL ENTERPR. GREASE EP 2 400 G,Tools
COMPRESSOR OIL 68 4 L,Tools
PRESTO CUT AND DRILL LUBRICANT 400 ML,Tools
COPPER GREASE 400 ML PRESTO,Tools
PRESTO SILICONE SPRAY 400 ML,Tools
Tunnel spray Ideal Spray Soppec Red 500ml UN1950,Tools
WD-40 SPECIALIST CUTTING OIL,Tools
WD-40 - SPECIALIST SPRAY GREASE,Tools
Glue/joint Soudal Fix ALL High Tack,Tools
GLAZING AGENT PERFECT FINNISH SOUDAL 5L JUG,Tools
SUPER GLUE FOR GLASS FIBER SPRINGS RUNPOTEC,Tools
TWO COMPONETS GLUE FOR GF RUNPOTEC,Tools
Sealant Sikaflex-112 Crystal Clear 290 ml,Tools
Earth fault circuit breaker Acti9 IC60 RCBO 2P 25A 30MA C 10kA SI,Electrical Components
MAXMINI 30X30,Electrical Components
Closed Cover Perforated Cable Tray 3000mmx75mm HDG (VANTRUCK),Cables
Straight Couplers for Perforated Cable tray 3000mmx75mm HDG (VANTRUCK),Cables
Perforated Cable tray 3000mmx75mm HDG (VANTRUCK),Cables
CUSTOM-INVOICE,
EXXACT S-DISC LEXCOM SK R HV - WDE002436 ✓,Electrical Components
Outdoor labels - 1.5x1.5 cm - square-10.000PCS,Electrical Components
10 FZV CENTERFJSK. DIN 128A 10.2 DIN 128-A TZN / HDG,Consumables
HEATING CABLE SELF-REGULATING 15W/M,Cables
"Schneider Electric Terminal Connectors, For Use with Circuit Breaker Multifix",Electrical Components
385-5 VG HDG 27mm ( 385-5 VG),Consumables
Permanent marker fine black,Consumables
AERIAL WORK PLATFORM FIBERGLASS S 6 STEPS 1.27M,PPE
Distribution box 85x85x54mm grey IP66,Electrical Components
FEED-THROUGH CLAMP OUT 2.5,Consumables
Shear bolt AL/CU cable lug rola 95-185/12,Consumables
"DIN RAIL 35/7,5 M HOLES 6,2*15MM L=2M",Electrical Components
PLASTIC PIPE FLEX HISPEED LSZH Ø25 750N 50M,Pipes Shrinks Clamps
CABLE LUBRICANT GEL IN TUBE 0.25 KG,Cables
Basefoot - Rubber base for mounting rails,Consumables
TX6A™ Category 6A F/FTP Copper Cable,Cables
"XPGD pipe clamp w/rubber, M8/M10 connection ",Consumables
Rail nut without spring HDG M8  P3007 V,Consumables
Pliers wrench set,Tools
SELE 1123 ONE SIZE,
"LAN 1302-TF 1,8M",
SUPPORT CORD 2370-2M,
Sikla end plug for 41/41 mounting rail,Consumables
"HENSEL Grey Polypropylene Junction Box, IP66 - Hensel ✓",Consumables
"Socket, 4404, 40 bar 3/4""",Consumables
"Terminal 5mm, 1.5-16 8US1921-2AA00 (Lemu)",Electrical Components
Plug polyamid M16 grey,Electrical Components
Reduction polyamid M M40-25,Consumables
Nut Polyamide M16 Glasforst S,Consumables
Nut Polyamide M25 Glasforst S,Consumables
Cable Gland Brass M20,Pipes Shrinks Clamps
Cable Gland Brass M25,Consumables
Cable Gland Brass M50,Electrical Components
Cable Gland Brass M32,Consumables
Lock Nut NP-Brass M25,Consumables
Lock Nut NP-Brass M40,Consumables
Lock Nut NP-Brass M50,Electrical Components
Lock Nut polyamide M20 Grey,Consumables
Cable Gland Brass M40 EMCPLUS,Cables
"Clamp 1,5-16MM for 10MM busbar",Electrical Components
BIS Strut Slide Nut hdg M8,Consumables
"Cabel tie 100 x 2,5 black Bag with 100 pcs",Consumables
"Tie T18R 100x2,5 BK 100p",Consumables
"Cable tie with steel 3,6X282 in packages 100 pcs black",Consumables
"CABLE TIE W/STEEL 7,0X378 P250 SO",Consumables
3/4“ x 3/4” Transition pipe thread nipple/nipple Alupex Wavin,Consumables
"Printed-circuit board connector MSTB 2,5/ 3-ST",Electrical Components
Electrical safety gloves 1000V size 9,PPE
Electrical safety gloves 1000V size 10,PPE
WMS 12.7 (60X20)R YE - Heat Shrink Tubing,Electrical Components
"Shrink sleeve WMS 6,4 (30X10)R YE",Pipes Shrinks Clamps
Ink ribbon THERMOMARK-RIBBON 110-WMSU,Consumables
LT Adapter plug - DK-plug to schuko 3160530,Electrical Components
"Shrink sleeve WMS-2 HF 19,1 (60X30)RL YE",Pipes Shrinks Clamps
VELCROBINDER SORT 7MMX200MM,Consumables
Nut M50 Polyamide,Consumables
Velcro Tape 10 mm x 5 meters black,Consumables
"Carrying clamp type SCW  8-14MM Ø6,5MM",Consumables
Carrying clamp type SCW 14-20MM Ø6.5MM,Consumables
COLOUR RIBBON - THERMOMARK-RIBBON 110-WMSU,Office Material
"WMS-2 HF 19,1 (60X30)RL YE",Office Material
"HENSEL Grey Polypropylene Junction Box, IP66 ❌",Consumables
4x2xAWG23/1 F-UTP Cat. 6 - PE,Cables
"Accessories membrane nipple for cable Ø 10 -14.5 mm, grayMembrane nipple cable Ø 4-25 IP55",Electrical Components
"LK FUGA Baseline 50 frame 1 module, white",Consumables
LK FUGA Baseline 50 underlay 1 module white,Electrical Components
Brother TZe-S221 Extra Adhesive Labelling Tape Black & White,Consumables
"""L Pipe clamp FRS 31-38mm M8 - A4 1""""""",Consumables
OX-ON Supreme støvmaske,PPE
OX-ON Basic 9000 Cutting Glove Black/Grey (SIZE 9),PPE
OX-ON Basic 9000 Cutting Glove Black/Grey (SIZE10),PPE
Edge band 2-5mm black,Electrical Components
Guide 9505 Cutting Glove ( SIZE 8),PPE
Guide 9505 Cutting Glove (SIZE 9),PPE
Guide 9505 Cutting Glove (SIZE 10),PPE
Sikk helmet SuperPlasma AQ Hi-viz Hi-viz fl.orange,PPE
Kask Primero visor holder,PPE
Rental for 7 days. LanTEK IV-3000MHz LAN,Electrical Components
Lapp Skindicht MR-M Reduction sleeve,Consumables
Polyester tow rope Ø10mm 120m. W/steel bar,Tools
"Edge protection 10x7,6 Black Volvoliste",Consumables
CABLE 5G10 HMH-J PLUS DRUM 500 M DCA,Cables
Loop rail XAH 4P +9mm 100A 57M,Electrical Components
M50 X M40 REDUCER M TO F NPB,Consumables
M63 X M50 REDUCER M TO F NPB,Consumables
REDUCTION M50-M40 EEXE BRASS,Consumables
REDUCTION M63-M50 EEXE BRASS,Consumables
Terminal blocks Ensto KA 16.12 terminal block 12X1.5 u.fot,Consumables
Disk Electro-zinc plated ,Consumables
Seat bolt Electro-zinc plated 12 x 25 mm ,Consumables
TREFOIL CABLE CLAMPS VRT-07,Pipes Shrinks Clamps
"CABLE CLAMPS VRT 08, TREFOIL FOR TRIANGLE/SINGLE INSTALLATION",Cables
4H912 ZINC CADDY CLAMP 14-20,Consumables
Connection set for DPH-10 V3 Box,Cables
CEE Exterior Wall Socket 32A 5P IP67 On Base,Electrical Components
CEE Plug 32A 5P IP44,Electrical Components
Control cable YSLCY-JZ 14G0.75mm² with copper braided shield,Cables
Schneider from 12 to 175A Standard 3-pole,Electrical Components
"Cable EIB BUS MOD 2x2x0.8 green, J-H(st)H) HFFR T500",Cables
CEE External wall socket 32A 5P 6H 400V IP44 screwless on flange,Electrical Components
CEE External wall socket 16A 5P 6H 400V IP44 screwless on flange,Electrical Components
CEE Exterior Wall outlet 16A 5P 6H 400V IP67 on base,Electrical Components
CEE Exterior Wall outlet 16A 3P 6H 230V IP67 on base,Electrical Components
"JUNCTION BOX 100X100MM PP 4X1,5-6 MM2 E90",Electrical Components
JORDFEILMODUL VIGI 2P 25A 30MA,Electrical Components
JORDFEILMODUL VIGI 4P 25A 30MA ✓,Electrical Components
"MINI-BOX, M/L 24/8 BLACK",Consumables
HEAT SHRINK TUBING 39/12 BLACK,Pipes Shrinks Clamps
HEAT SHRINK TUBING 39/12 BLUE,Pipes Shrinks Clamps
AUT.SIKRING IC60H 2P 16A/B ✓,Electrical Components
